y_category,rank,char_ngram,coefficient
4,9,faden,1.0378540131392406
4,10,fade,1.0378540131392406
4,11,cardi,1.035982492859632
4,12,card,1.035982492859632
4,13,iam,1.0350704587864967
4,14, hta,1.034992675901313
4,15,hta,1.034992675901313
4,16,fad,1.0142401658712028
4,17, ga,1.011324147426365
4,18,ardi,1.0064593366310293
4,19,necto,1.0010027300894069
4,20,nect,1.0010027300894069
5,1, ir,1.6616583286408426
5,2,ira,1.458140558239435
5,3,ap ,1.2574825271668293
5,4, he,1.2450748993738485
5,5,lap,1.1894356074589194
5,6, re,1.1880289298237414
5,7, ira,1.111327128351298
5,8, ira ,1.111327128351298
5,9, vm ,1.1077774145812993
5,10,vm ,1.1077774145812993
5,11,ira ,1.0876306857361557
5,12,iti,1.0772153945238634
5,13, lap,1.0563109764611414
5,14, vm,1.0514586634178222
5,15,rit,0.9965606560212137
5,16,herni,0.9734586519251441
5,17,hern,0.9734586519251441
5,18, hern,0.9734586519251441
5,19,erni,0.9656469409682645
5,20,rni,0.9623742549539845
6,1,part,1.9588375993331015
6,2,art,1.9227150455735935
6,3,par,1.8090343734151346
6,4, an,1.6626950713725415
6,5,rto ,1.63136046333508
6,6,to ,1.5974339567402212
6,7,rto,1.5780355150887626
6,8,ntepa,1.4000115898325411
6,9,tepa,1.4000115898325411
6,10,tepar,1.4000115898325411
6,11,antep,1.4000115898325411
6,12,ntep,1.4000115898325411
6,13,epart,1.4000115898325411
6,14,tep,1.3877940978509762
6,15,epar,1.3694217898549705
6,16, 2 ,1.3152718993386032
6,17,parto,1.3146884955733158
6,18,arto ,1.3145242107618
6,19, ge,1.307969673192355
6,20,arto,1.2856150803701043
7,1,ebr,1.2809125546200917
7,2, ar,1.1776878168438103
7,3,gen,1.1197356191670345
7,4,artr,0.8956144117954594
7,5,con,0.8942531163458177
7,6,pond,0.8783120838582359
7,7, do,0.8765496152467918
7,8,esia,0.8714859989805578
7,9,ond,0.8357241501098527
7,10,tos ,0.830985518143802
7,11,alg,0.8265830366631172
7,12,ebre,0.8230709829859157
7,13,ebre ,0.8230709829859157
7,14,ia ,0.8218436380788401
7,15,vomit,0.8090576598897282
7,16,vomi,0.8090576598897282
7,17, vomi,0.8090576598897282
7,18,omit,0.8090576598897282
7,19,bre ,0.8055382454697428
7,20, lumb,0.7885822555097325
8,1,eco,3.0133525840971256
8,2, eco,2.981986989453368
8,3, ec,2.890157617966911
8,4,oma,2.372438385166944
8,5,oma ,2.0045164518188963
8,6, ca,1.6832204207672454
8,7, eco ,1.6652184759622524
8,8,eco ,1.6099855920546366
8,9,nom,1.497430173379443
8,10,noma,1.4848682784858933
8,11, ca ,1.484570739222695
8,12,ma ,1.4524937405457867
8,13,mas,1.4270921588668934
8,14, tc,1.3880569072911164
8,15,noma ,1.3418190785433892
8,16,abd,1.3258579762716232
8,17,ogra,1.3104317836140507
8,18,ogr,1.2682728075245964
8,19,tc ,1.2611654076405687
8,20,ac ,1.2540691779676525
9,1,oma,1.2871090196278636
9,2,oma ,1.2144251429933184
9,3,qx ,1.2011800786131022
9,4, qx ,1.2011800786131022
9,5, qx,1.2011800786131022
9,6,tera,1.1539254157797025
9,7,erapi,1.0935514015909458
9,8,vm ,1.0880198573228144
9,9, vm ,1.0880198573228144
9,10,terap,1.086057708548416
9,11,erap,1.086057708548416
9,12,rapi,1.0579084949417061
9,13, vm,1.0304075034835405
9,14,rap,0.977395834327195
9,15,oxi,0.9770909021819039
9,16,api,0.9605808014836839
9,17,ma ,0.9323973455321095
9,18,oter,0.919532510113404
9,19,ntib,0.9179334021432792
9,20,ntibi,0.9179334021432792
A,1, sep,0.6803518051930739
A,2,sep,0.6710234222519947
A,3,zika,0.5899758443783091
A,4,zika ,0.5899758443783091
A,5,zik,0.5899758443783091
A,6,ika,0.5899758443783091
A,7, zi,0.5899758443783091
A,8,ika ,0.5899758443783091
A,9, zika,0.5899758443783091
A,10, zik,0.5899758443783091
A,11,ka ,0.5899758443783091
A,12,septi,0.5675538052766125
A,13,rpes ,0.5568774884225509
A,14,erpes,0.5568774884225509
A,15,rpes,0.5568774884225509
A,16, herp,0.5516723480638142
A,17,ept,0.5432280693091098
A,18,herpe,0.5420566787969774
A,19,herp,0.5420566787969774
A,20,pes ,0.5377598661125446
B,1, eco,3.1360772079523396
B,2, ec,3.037990390201494
B,3,eco,3.0074751915119102
B,4, rx,2.410112693469681
B,5,tc ,2.3194860452462405
B,6, rx ,2.1770417857600486
B,7,rx ,2.1770417857600486
B,8, tc ,1.9456821182889408
B,9, eco ,1.9013173654881077
B,10, tc,1.8677217638515433
B,11,eco ,1.8350695885526909
B,12, rm,1.789245532651502
B,13,tac ,1.7329837488772537
B,14, tac ,1.680593708465878
B,15, tac,1.680593708465878
B,16,ac ,1.5743273895533796
B,17,co ,1.5620883239691623
B,18,coli ,1.5160938353902185
B,19,oli ,1.5015952002455244
B,20,ogra,1.4998869453808468
C,1, ca ,3.1105357145125616
C,2, ca,2.6520867848173726
C,3,ma ,1.72970495811463
C,4,ca ,1.6177794293700023
C,5,mam,1.5714508269439618
C,6, mam,1.5714508269439618
C,7,mama ,1.3727373852384368
C,8,mama,1.3206604457166438
C,9, mama,1.3206604457166438
C,10,ama ,1.3142528143513676
C,11, neo,1.2922625499333908
C,12,ama,1.248897009051805
C,13, ma,1.1517419980835315
C,14,neo,1.1246988379824772
C,15,met,1.099359916361368
C,16,arc,1.0714059865805101
C,17,asi,1.0537695438383237
C,18,neop,1.0279209008915942
C,19,eopl,1.0279209008915942
C,20, neop,1.0279209008915942
D,1,oma,2.1762988340893017
D,2,oma ,1.9505531782752532
D,3,nemi,1.9057152213519115
D,4,nem,1.8656149166495166
D,5,anemi,1.8030656239896898
D,6,iom,1.799625520521998
D,7,anem,1.7878876535779984
D,8, anem,1.7878876535779984
D,9,ma ,1.7653630699035447
D,10,cit,1.688480570639827
D,11,emi,1.6483419909179384
D,12,ioma,1.6384605495990554
D,13, ane,1.4628545538959667
D,14,nemia,1.431232310258053
D,15,ane,1.3279995999642253
D,16,mioma,1.3180599810930083
D,17,emia ,1.3046756479000294
D,18,open,1.2840988033162688
D,19,emia,1.277067500262252
D,20,miom,1.274039013977848
E,1, dm,2.0272001278502896
E,2,hip,1.8494448198164892
E,3, hip,1.745980875460646
E,4,emia ,1.734156599743374
E,5,emia,1.6720450559253468
E,6,emi,1.5000187760371995
E,7, dm ,1.4707963989912796
E,8,dm ,1.4707963989912796
E,9,ipo,1.4328126707962712
E,10, ti,1.4026315317499551
E,11, dl,1.373306362863389
E,12, sop,1.3661692328243964
E,13,ipe,1.3479561671015448
E,14, so,1.3386177418441696
E,15, hi,1.320731890543741
E,16, sop ,1.314759485580917
E,17,sop ,1.314759485580917
E,18,sop,1.244396739821472
E,19,op ,1.1919626520116673
E,20, tiro,1.1512107474772477
F,1, tab,1.3156836413506696
F,2, taba,1.3156836413506696
F,3,pres,1.3008246477797
F,4,taba,1.238768030076163
F,5,epres,1.2342927638772658
F,6,depre,1.2288922016191226
F,7,epre,1.2288922016191226
F,8,depr,1.2031134679751547
F,9,epr,1.1940880120297888
